-26,-316,-2222,559,-69,-70
-37,-325,-2257,522,98,42
1,-300,-2304,386,204,91
71,-295,-2358,208,389,71
104,-286,-2463,62,478,34
89,-263,-2324,-48,434,24
29,-232,-2653,-171,359,47
-77,-159,-2820,-295,309,145
-171,-84,-2987,-376,241,291
-222,-11,-3238,-440,148,401
-49,16,-3717,-484,-58,451
-292,-28,-4262,-698,-476,531
-721,-116,-4571,-1028,-724,719
-1054,-231,-4677,-1381,-1207,1049
-1263,-375,-4605,-1759,-1604,1483
-1311,-514,-4384,-2118,-1868,1921
-1216,-614,-3971,-2439,-2230,2337
-943,-609,-3399,-2743,-2188,2654
-546,-515,-2796,-2997,-1974,2749
-157,-425,-2200,-3154,-1672,2667
175,-343,-1692,-3177,-1337,2508
484,-259,-1269,-3093,-1093,2253
715,-177,-895,-2930,-908,2181
875,-144,-562,-2698,-710,1575
980,-68,-262,-2404,-495,1475
1035,22,-9,-2061,-293,1030
1024,109,199,-1700,-33,657
984,161,270,-1360,392,335
896,213,364,-1053,894,21
760,255,370,-967,1254,-307
528,267,293,-513,1292,-601
504,255,199,-53,1015,-797
108,191,155,475,889,-914
-181,68,126,1081,325,-1016
-522,-162,25,1690,236,-1076
-967,-424,-132,2242,169,-885
-1436,-551,-300,2783,172,-586
-1753,-832,-722,3441,148,112
-1836,-1072,-1415,4262,-313,712
-1534,-1137,-1993,4949,-888,1357
-894,-924,-2775,4973,-960,1694
-359,-554,-3401,4446,-614,1530
-165,-338,-4016,3893,-533,1133
-192,-194,-4160,3482,-952,773
-148,-17,-4337,3012,-1626,462
-163,38,-4198,2440,-1879,91
-298,-94,-4065,2124,-1555,2
-460,44,-4636,2159,-1298,89
-461,45,-4746,1564,-1144,238
-409,-56,-4110,763,-560,552
-359,-28,-3565,242,-27,676
-266,2,-3140,-30,100,543
-236,-49,-2684,-179,76,344
-239,-89,-2310,-262,50,168
-236,-160,-2165,-304,107,49
-159,-179,-2219,-282,117,-12
11,-131,-2102,-255,63,-171
224,-43,-2444,-292,78,-348
535,94,-2747,-459,264,-452
1027,303,-3176,-626,499,-643
1593,425,-3501,-1028,657,-1201
1906,328,-3396,-1931,994,-2085
1898,-71,-3006,-2420,1389,-2977
1779,-671,-2428,-2609,1788,-3768
1149,-1286,-1885,-2358,2385,-4323
246,-1820,-1787,-1749,2983,-4235
-1199,-2036,-2125,-994,2902,-3390
-1560,-1908,-2487,-357,2174,-2252
-1966,-1554,-2564,11,2031,-1336
-1552,-1159,-2488,67,1360,-897
-1268,-815,-2340,28,776,-843
-1158,-612,-2201,21,600,-848
-1141,-759,-2069,41,254,-712
-1099,-388,-1986,60,3,-455
-953,-322,-1953,65,-118,-263
-786,-180,-1995,82,-167,-215
-681,-99,-1797,104,-240,-209
-609,-55,-2104,99,-281,-178
-517,-42,-2121,56,-241,-126
-411,-41,-2150,14,-161,-73
-322,-48,-2176,-6,-106,-47
-260,-50,-2202,-251,-131,-38
-227,-55,-2204,11,-188,-26
-220,-70,-2208,43,-250,7
-223,-75,-2204,65,-238,79
-200,-62,-2228,75,-175,153
-149,-44,-2258,67,-147,175
-100,-33,-2297,56,-113,158
-80,-12,-2329,42,-147,89
-42,-36,-2349,28,-222,77
-68,-39,-2337,-20,-282,37
-93,-41,-2329,-66,-333,40
-79,-16,-2328,-104,-386,43
-26,15,-2349,-121,-488,5
-244,32,-2350,-128,-632,-107
240,9,-2290,-137,-714,-227
-54,-32,-2216,-135,-717,-289
-146,-67,-2128,-134,-629,-268
-234,-76,-2065,-123,-557,-196
-307,-75,-2025,-102,-393,-116
