14,1106,-1609,-159,-371,208
-12,1080,-1627,103,-301,144
9,1055,-1665,168,-145,114
38,1011,-1675,113,-4,93
60,951,-1710,13,118,41
83,877,-1720,-102,191,-16
126,794,-1722,-173,198,-51
231,697,-1677,-195,173,-50
441,572,-1625,-235,188,-48
573,432,-1531,-224,66,-43
914,247,-1390,-44,409,-36
1338,291,-1370,313,422,-205
1668,319,-1250,557,471,-461
1947,321,-1179,791,587,-598
2076,251,-1242,1045,757,-1084
1980,134,-1433,1307,940,-1587
1660,-12,-1728,1532,1097,-2041
1178,-112,-2035,1713,1142,-2465
549,-167,-2198,1849,1141,-2778
-128,-155,-2622,1882,1230,-2949
-762,-102,-3068,1750,1339,-2996
-1392,48,-3452,1538,1165,-3083
-2107,181,-3676,1517,715,-3101
-2817,228,-3630,1175,415,-2725
-3315,266,-3392,733,459,-1986
-3340,315,-3199,431,469,-1163
-3657,291,-3038,245,287,-327
-3588,245,-2824,123,114,468
-3318,140,-2581,35,58,1139
-3039,191,-2416,-25,57,1718
-2819,-37,-2377,-25,-19,2226
-2594,-386,-2355,12,-226,2471
-2301,-603,-2346,84,-346,3064
-1783,-733,-2425,73,-246,3604
-974,-738,-2382,-5,-117,4064
44,-605,-2772,-174,-222,4162
974,-411,-2767,-416,-429,3825
1564,-281,-2641,-590,-592,3198
1831,-258,-2496,-670,-669,2575
1976,-289,-2347,-682,-659,2110
2154,-240,-2168,-690,-541,1702
2252,-183,-1900,-723,-225,1236
2231,-196,-1586,-749,136,779
2077,-283,-1312,-721,228,382
1991,-440,-1008,-602,227,107
1853,-581,-695,-324,387,-15
1779,-661,-426,67,545,-82
1743,-714,-167,502,969,-159
1713,-709,52,991,1504,-241
1716,-669,152,1530,2201,-323
1759,-629,231,2133,2862,-394
1709,-713,-96,2934,2788,-674
1551,-990,-1095,4066,1561,-1283
1195,-1296,-2191,4930,251,-2048
621,-1552,-3271,4663,536,-2433
-113,-1505,-4129,3818,1442,-2218
-590,-1268,-4685,3545,1271,-1869
-647,-851,-5051,3243,601,-1637
-560,-277,-5674,2698,-139,-1414
-389,-89,-5621,1927,-856,-991
-363,-224,-4701,901,-1089,-519
200,-344,-3535,177,-854,-321
430,-502,-2755,-80,-515,-326
493,-650,-2282,-185,-266,-343
545,-763,-1980,-239,-118,-346
553,-838,-1797,-255,-97,-334
566,-885,-1664,-196,-98,-303
580,-898,-1637,-103,-105,-506
586,-899,-1677,-31,-102,-172
575,-878,-1775,17,-87,-120
567,-819,-1927,30,-30,-2
578,-750,-2005,22,41,102
611,-679,-2136,-15,112,178
671,-620,-2203,-57,164,210
722,-561,-2217,-71,171,153
746,-569,-2213,-76,104,118
747,-580,-2182,-93,43,93
746,-583,-2131,-106,248,65
739,-604,-2063,-119,-16,37
732,-617,-2003,-101,-13,244
696,-629,-1956,-64,-28,-53
639,-662,-1928,11,-37,-62
589,-670,-1938,95,-18,-66
543,-667,-1951,168,19,-35
529,-654,-1998,234,21,-8
527,-638,-2068,232,6,-9
532,-639,-2114,212,9,-6
539,-657,-2121,148,49,27
547,-673,-2102,74,102,77
561,-683,-2074,13,124,131
601,-685,-2050,-9,148,154
648,-668,-2036,-22,128,122
679,-667,-2016,-32,87,99
685,-678,-2008,-25,67,62
662,-689,-2003,-15,86,57
636,-694,-2016,-8,102,68
623,-687,-2035,1,90,83
622,-678,-2048,16,60,78
625,-674,-2052,33,43,59
622,-681,-2053,26,48,48
