-411,820,-2158,34,87,-238
-491,808,-2178,61,-6,-170
-517,801,-2167,73,-46,-103
-490,815,-2159,58,-4,-104
-489,808,-2125,-2,93,-127
-498,802,-2107,-83,208,-116
-527,800,-2090,-190,273,-79
-566,788,-2108,-285,404,-43
-641,775,-2113,-360,470,-242
-745,749,-2100,-472,601,99
-845,709,-2279,-520,551,137
-963,640,-1918,-227,75,256
-1059,559,-1851,-8,-286,461
-1111,490,-1710,83,-416,730
-1038,438,-1615,76,-415,1015
-853,414,-1511,239,-384,1249
-653,392,-1403,-69,-430,1368
-733,291,-1244,-144,-545,1434
-294,198,-1096,1,-532,1562
-184,110,-1099,214,-450,1706
65,11,-1111,393,-368,1751
253,-175,-1122,566,-353,1718
322,-424,-1082,748,-391,1643
390,-566,-906,1044,-396,1623
516,-736,-900,1574,7,1749
898,-748,-1201,2042,655,1767
1444,-644,-1281,2411,1030,1570
1959,-464,-1732,2817,1106,1081
2392,-354,-2153,3172,1038,424
2726,-276,-2559,3417,1044,-264
2924,-190,-3028,3517,1012,-1007
2952,-184,-3521,3525,813,-1805
2808,-282,-3993,3435,413,-2646
2717,-448,-4304,3310,133,-3350
2235,-629,-4426,2897,242,-3772
1717,-770,-4488,2298,531,-3944
1233,-866,-4509,1684,555,-4008
848,-937,-4478,1153,375,-4008
506,-959,-4440,623,111,-3911
154,-960,-4391,66,-52,-3794
-242,-771,-4359,-412,-582,-3720
-781,-1136,-4233,-763,-1483,-3715
-1378,-1190,-3966,-1065,-2272,-3170
-1747,-1239,-3648,-1653,-2258,-2170
-1893,-1254,-3278,-2319,-1875,-1130
-1971,-1266,-2885,-2705,-1741,-717
-1942,-1242,-2515,-2809,-1861,128
-1841,-1191,-2162,-2785,-1997,697
-1692,-1129,-1793,-2794,-1977,1215
-1514,-1078,-1473,-2779,-1804,1643
-1306,-1018,-1220,-2617,-1684,2219
-1094,-934,-985,-2393,-1586,2474
-880,-881,-817,-2153,-1444,2664
-674,-859,-676,-1870,-1320,2752
-453,-806,-589,-1548,-1171,2914
-212,-746,-531,-1227,-1003,3034
17,-711,-523,-853,-929,3057
243,-721,-536,-400,-1012,3020
510,-707,-555,55,-1114,2997
818,-606,-504,169,-1012,2926
1056,-533,-370,514,-477,2761
1258,-535,-453,982,40,2568
1480,-528,-723,1410,290,2379
1611,-507,-1065,1851,53,2056
1850,-426,-1342,2302,-94,1570
1996,-383,-1596,2700,-443,1107
2089,-387,-1977,2977,-407,712
2185,-347,-2407,3136,-346,283
2290,-299,-2743,3152,-397,29
2328,-144,-3042,3059,-452,-605
2234,-97,-3252,2883,-456,-1215
2015,-113,-3450,2596,-332,-1760
1661,-187,-3341,2304,-367,-2298
1215,-274,-3653,2012,-553,-2724
715,-388,-3684,1681,-612,-2998
201,-531,-3703,1266,-461,-3036
-252,-605,-3688,812,-329,-2830
-563,-616,-3543,424,-377,-2518
-766,-591,-3284,397,-431,-2175
-887,-556,-3060,185,-384,-1837
-935,-524,-2894,-3,-366,-1484
-922,-479,-2710,-343,-355,-1143
-881,-422,-2519,-459,-327,-843
-827,-372,-2382,-519,-265,-572
-775,-347,-2304,-542,-242,-328
-653,-339,-2212,-562,-186,-134
-536,-329,-2141,-585,-129,24
-422,-311,-2112,-556,-121,131
-324,-323,-2063,-540,-123,200
-258,-322,-2031,-504,-124,257
-209,-315,-2026,-430,-172,328
-120,-286,-2025,-361,-191,353
-32,-252,-2033,-314,-176,346
21,-230,-1796,-268,-148,316
55,-191,-2078,-220,-149,282
83,-170,-2087,-203,-139,267
103,-149,-2085,-176,-117,244
122,-125,-2110,-137,-126,200
134,-108,-2128,-111,-130,151
128,-104,-2142,-99,-126,104
