-276,-26,-1859,231,748,-117
-557,-40,-1841,271,808,70
-605,-42,-1909,296,1074,267
-649,-28,-2015,363,1373,396
-709,-10,-2153,495,1333,502
-798,-14,-2349,597,1268,699
-915,-6,-2625,613,1236,958
-1006,50,-2620,571,1066,1067
-1049,85,-2829,484,777,1232
-1046,46,-3152,331,443,1400
-1004,-7,-3219,115,194,1659
-885,-41,-3227,148,37,2005
-649,-62,-3246,-54,-70,2306
-285,-68,-3336,-415,-204,2482
-92,-51,-3406,-658,-341,2499
347,-24,-3403,-935,-416,2363
799,2,-3394,-1216,-490,2116
1135,16,-3367,-1482,-557,1759
1384,2,-3316,-1729,-578,1314
1529,-47,-3219,-1936,-626,868
1574,-108,-3112,-2086,-663,743
1571,-137,-2976,-2231,-662,472
1559,-157,-2786,-2381,-592,229
1539,-148,-2537,-2490,-472,-37
1493,-134,-2521,-2523,-326,-438
1426,-131,-2258,-2487,-163,-749
1340,-142,-2023,-2401,0,-1084
1219,-175,-1779,-2272,136,-1432
1046,-223,-1400,-2103,272,-1744
856,-276,-1171,-1905,440,-1978
672,-323,-968,-1681,646,-2158
500,-358,-789,-1662,877,-2307
331,-387,-634,-1107,1145,-2425
169,-399,-522,-803,1445,-2509
3,-412,-454,-643,1760,-2525
-157,-414,-462,-298,1976,-2518
-84,-411,-528,132,2006,-2584
-453,-425,-616,642,1890,-2692
-734,-460,-696,1138,1840,-2736
-1082,-511,-839,1570,1863,-2659
-1485,-573,-1065,1993,1943,-2459
-1922,-663,-1378,2451,1976,-2072
-2289,-691,-1721,2856,1966,-1438
-2507,-668,-2069,3058,2059,-651
-2537,-609,-2444,3066,2236,-90
-2419,-579,-2844,2978,2173,640
-2219,-521,-3178,2905,1671,1276
-1958,-499,-3416,2821,1093,1876
-1609,-493,-3440,2559,896,2410
-1238,-472,-3994,2045,963,2852
-879,-447,-4160,1476,836,3108
-568,-485,-4220,1028,548,3241
-250,-503,-4363,582,256,3359
116,-452,-4452,42,-10,3443
433,-372,-4401,-232,-211,3333
754,-386,-4307,-693,-361,3154
840,-469,-4138,-1163,-310,3090
1197,-446,-4072,-1570,-107,3028
1747,-352,-4012,-2021,-132,2669
1919,-305,-3851,-2351,-474,2050
1952,-307,-3581,-2508,-614,1427
1917,-335,-3216,-2640,-787,889
1780,-363,-2814,-2760,-924,446
1584,-388,-2459,-2845,-917,94
1410,-398,-2176,-2872,-543,-209
1293,-384,-1913,-2808,-384,-532
1197,-385,-1660,-2668,-266,-877
1076,-410,-1422,-2505,-83,-1186
941,-437,-1230,-2330,173,-1395
797,-450,-1066,-2143,407,-1294
673,-416,-915,-1937,585,-1702
547,-362,-771,-1696,693,-1789
406,-320,-649,-1392,757,-1972
261,-287,-554,-1047,823,-2121
103,-253,-513,-709,979,-2218
-51,-225,-463,-380,1246,-2257
-208,-212,-487,-25,1500,-2325
-411,-233,-626,148,1544,-2468
-675,-285,-810,588,1425,-2587
-982,-382,-975,1033,1378,-2524
-1276,-451,-1113,1328,1480,-2251
-1495,-451,-1279,1581,1597,-1892
-1636,-406,-1484,1870,1591,-1542
-1690,-341,-1747,2151,1722,-1234
-1691,-262,-2009,2366,1519,-968
-1661,-176,-2214,2459,1108,-719
-1607,-138,-2410,2454,1236,-492
-1575,-135,-2640,2415,1010,-275
-1582,-148,-2815,2335,619,-1
-1576,-166,-2937,2209,341,344
-1508,-182,-3050,2060,176,726
-1372,-193,-3138,1864,164,803
-1232,-258,-3207,1645,217,1120
-1064,-352,-3268,1427,246,1556
-778,-376,-3309,1190,222,1862
-429,-361,-3345,903,146,1996
-162,-327,-3309,632,-111,1985
44,-306,-3191,430,-415,1850
185,-275,-3001,247,-619,1645
249,-286,-2776,94,-665,1421
